song,album,section,text
Tim McGraw,Taylor Swift,[Verse 1],"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""
Just a boy in a Chevy truck
That had a tendency of gettin' stuck
On backroads at night"
Tim McGraw,Taylor Swift,[Pre-Chorus],"And I was right there beside him all summer long
And then the time we woke up to find that summer gone"
Tim McGraw,Taylor Swift,[Chorus],"But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me"
Tim McGraw,Taylor Swift,[Verse 2],"September saw a month of tears
And thankin' God that you weren't here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back"
Tim McGraw,Taylor Swift,[Pre-Chorus],"It's hard not to find it all a little bittersweet
And lookin' back on all of that, it's nice to believe"
Tim McGraw,Taylor Swift,[Chorus],"When you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me"
Tim McGraw,Taylor Swift,[Bridge],"And I'm back for the first time since then
I'm standin' on your street
And there's a letter left on your doorstep
And the first thing that you'll read"
Tim McGraw,Taylor Swift,[Chorus],"Is, ""When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place""
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me"
Tim McGraw,Taylor Swift,[Outro],"Oh, think of me, mmm
He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie"""
Picture to Burn,Taylor Swift,[Verse 1],"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say
By the way"
Picture to Burn,Taylor Swift,[Chorus],"I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn"
Picture to Burn,Taylor Swift,[Verse 2],"There's no time for tears, I'm just sittin' here planning my revenge
There's nothing stoppin' me from goin' out with all of your best friends
And if you come around sayin' sorry to me
My daddy's gonna show ya how sorry you'll be"
Picture to Burn,Taylor Swift,[Chorus],"'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn"
Picture to Burn,Taylor Swift,[Bridge],"And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health"
Picture to Burn,Taylor Swift,[Chorus],"'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
In case you haven't heard
I really, really hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn"
Picture to Burn,Taylor Swift,[Outro],"Burn, burn, burn, baby, burn
You're just another picture to burn
Baby, burn"
Teardrops On My Guitar,Taylor Swift,[Verse 1],"Drew looks at me
I fake a smile so he won't see
That I want and I'm needing
Everything that we should be"
Teardrops On My Guitar,Taylor Swift,[Pre-Chorus],"I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without"
Teardrops On My Guitar,Taylor Swift,[Verse 2],"Drew talks to me
I laugh 'cause it's just so funny
That I can't even see
Anyone when he's with me"
Teardrops On My Guitar,Taylor Swift,[Pre-Chorus],"He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night"
Teardrops On My Guitar,Taylor Swift,[Chorus],"He's the reason for the teardrops on my guitar
The only thing that keeps me wishin' on a wishing star
He's the song in the car I keep singing, don't know why I do"
Teardrops On My Guitar,Taylor Swift,[Verse 3],"Drew walks by me
Can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be"
Teardrops On My Guitar,Taylor Swift,[Pre-Chorus],"She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause"
