song,album,section,text
Lavender Haze,Midnights,[Verse 1],Meet me at midnight
Lavender Haze,Midnights,[Verse 1],"Staring at the ceiling with you
Oh, you don't ever say too much
And you don't really read into
My melancholia"
Lavender Haze,Midnights,[Pre-Chorus],"I been under scrutiny (Yeah, oh, yeah)
You handle it beautifully (Yeah, oh, yeah)
All this shit is new to me (Yeah, oh, yeah)"
Lavender Haze,Midnights,[Chorus],"I feel
The lavender haze creeping up on me
Surreal
I'm damned if I do give a damn what people say
No deal
The 1950s shit they want from me
I just wanna stay in that lavender haze"
Lavender Haze,Midnights,[Verse 2],"All they keep asking me (All they keep asking me)
Is if I'm gonna be your bride
The only kinda girl they see (Only kinda girl they see)
Is a one-night or a wife"
Lavender Haze,Midnights,[Pre-Chorus],"I find it dizzying (Yeah, oh, yeah)
They're bringing up my history (Yeah, oh, yeah)
But you weren't even listening (Yeah, oh, yeah)"
Lavender Haze,Midnights,[Chorus],"I feel
The lavender haze creepin' up on me
Surreal
I'm damned if I do give a damn what people say
No deal
The 1950s shit they want from me
I just wanna stay in that lavender haze"
Lavender Haze,Midnights,[Post-Chorus],That lavender haze
Lavender Haze,Midnights,[Bridge],"Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk (Get it off my desk)
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk"
Lavender Haze,Midnights,[Chorus],"I feel (I feel)
The lavender haze creeping up on me
Surreal
I'm damned if I do give a damn what people say
No deal (No deal)
The 1950s shit they want from me
I just wanna stay in that lavender haze"
Lavender Haze,Midnights,[Outro],"Get it off your chest
Get it off my desk
That lavender haze
I just wanna stay
I just wanna stay in that lavender haze"
Maroon,Midnights,[Verse 1],"When the morning came
We were cleaning incense off your vinyl shelf
'Cause we lost track of time again
Laughing with my feet in your lap
Like you were my closest friend
""How'd we end up on the floor, anyway?"" you say
""Your roommate's cheap-ass screw-top rosé, that's how""
I see you every day now"
Maroon,Midnights,[Chorus],"And I chose you
The one I was dancing with
In New York, no shoes
Looked up at the sky and it was
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon"
Maroon,Midnights,[Verse 2],"When the silence came
We were shaking, blind and hazy
How the hell did we lose sight of us again?
Sobbing with your head in your hands
Ain't that the way shit always ends?
You were standing hollow-eyed in the hallway
Carnations you had thought were roses, that's us
I feel you, no matter what
The rubies that I gave up"
Maroon,Midnights,[Chorus],"And I lost you
The one I was dancing with
In New York, no shoes
Looked up at the sky and it was (Maroon)
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was (Maroon)
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon"
Maroon,Midnights,[Bridge],"And I wake with your memory over me
That's a real fucking legacy, legacy (It was maroon)
And I wake with your memory over me
That's a real fucking legacy to leave"
Maroon,Midnights,[Chorus],"The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was maroon
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon"
Maroon,Midnights,[Outro],"It was maroon
It was maroon"
Anti-Hero,Midnights,[Verse 1],"I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift, all of the people
I've ghosted stand there in the room"
Anti-Hero,Midnights,[Pre-Chorus],"I should not be left to my own devices
They come with prices and vices
I end up in crisis
(Tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
(For the last time)"
Anti-Hero,Midnights,[Chorus],"It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero"
Anti-Hero,Midnights,[Verse 2],"Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed"
Anti-Hero,Midnights,[Pre-Chorus],"Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
(A tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
(For the last time)"
Anti-Hero,Midnights,[Chorus],"It's me, hi
I'm the problem, it's me (I'm the problem, it's me)
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero"
Anti-Hero,Midnights,[Bridge],"I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell"""
Anti-Hero,Midnights,[Breakdown],"It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees"
Anti-Hero,Midnights,[Chorus],"It's me, hi (Hi)
I'm the problem, it's me (I'm the problem, it's me)
At teatime (Teatime), everybody agrees (Everybody agrees)
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero"
Snow On The Beach,Midnights,[Verse 1],"One night, a few moons ago
I saw flecks of what could've been lights
But it might just have been you
Passing by unbeknownst to me
Life is emotionally abusive
And time can't stop me quite like you did
And my flight was awful, thanks for asking
I'm unglued, thanks to you"
Snow On The Beach,Midnights,[Chorus],"And it's like snow at the beach
Weird, but fuckin' beautiful
Flying in a dream
Stars by the pocketful
You wanting me
Tonight feels impossible
But it's comin' down
No sound, it's all around"
Snow On The Beach,Midnights,[Post-Chorus],"Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, ah"
Snow On The Beach,Midnights,[Verse 2],"This scene feels like what I once saw on a screen
I searched ""aurora borealis green""
I've never seen someone lit from within
Blurring out my periphery
My smile is like I won a contest
And to hide that would be so dishonest
And it's fine to fake it 'til you make it
'Til you do, 'til it's true"
Snow On The Beach,Midnights,[Chorus],"Now it's like snow at the beach
Weird, but fuckin' beautiful
Flying in a dream
Stars by the pocketful
You wanting me
Tonight feels impossible
But it's comin' down
No sound, it's all around"
Snow On The Beach,Midnights,[Post-Chorus],"Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, ah"
Snow On The Beach,Midnights,[Bridge],"I (I) can't (Can't) speak, afraid to jinx it
I (I) don't (Don't) even dare to wish it
But your eyes are flying saucers from another planet
Now I'm all for you like Janet
Can this be a real thing? Can it?"
Snow On The Beach,Midnights,[Chorus],"Are we falling like snow at the beach? (Snow at the beach)
Weird, but fuckin' beautiful
Flying in a dream (Flying in a dream)
Stars by the pocketful
You wanting me (You wanting me)
Tonight feels impossible
But it's comin' down
No sound, it's all around"
Snow On The Beach,Midnights,[Post-Chorus],"Like snow on the beach (Snow on the beach)
Like snow on the beach (Flying in a dream)
Like snow on the beach (You wanting me)
Like snow, ah
But it's comin' down
No sound, it's all around"
