song,album,section,text
Fortnight,The Tortured Poets Department,[Verse 1],"I was supposed to be sent away
But they forgot to come and get me
I was a functioning alcoholic
'Til nobody noticed my new aesthetic
All of this to say I hope you're okay
But you're the reason
And no one here's to blame
But what about your quiet treason?"
Fortnight,The Tortured Poets Department,[Chorus],"And for a fortnight there, we were forever
Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors
Your wife waters flowers, I wanna kill her"
Fortnight,The Tortured Poets Department,[Verse 2],"All my mornings are Mondays stuck in an endless February
I took the miracle move-on drug, the effects were temporary
And I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, but I touched you"
Fortnight,The Tortured Poets Department,[Chorus],"And for a fortnight there, we were forever
Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors
Your wife waters flowers, I wanna kill her
And for a fortnight there, we were together
Run into you sometimes, comment on my sweater
Now you're at the mailbox, turned into good neighbors
My husband is cheating, I wanna kill him"
Fortnight,The Tortured Poets Department,[Bridge],"I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, I touched you
I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, I touched you"
Fortnight,The Tortured Poets Department,[Outro],"Thought of callin' ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida, buy the car you want
But it won't start up 'til you touch, touch, touch me
Thought of calling ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida, buy the car you want
But it won't start up 'til I touch, touch, touch you"
The Tortured Poets Department,The Tortured Poets Department,[Verse 1],"You left your typewriter at my apartment
Straight from the tortured poets department
I think some things I never say
Like, ""Who uses typewriters anyway?""
But you're in self-sabotage mode
Throwing spikes down on the road
But I've seen this episode and still loved the show
Who else decodes you?"
The Tortured Poets Department,The Tortured Poets Department,[Chorus],"And who's gonna hold you like me?
And who's gonna know you, if not me?
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're modern idiots""
And who's gonna hold you like me?"
The Tortured Poets Department,The Tortured Poets Department,[Post-Chorus],"Nobody
No-fucking-body
Nobody"
The Tortured Poets Department,The Tortured Poets Department,[Verse 2],"You smoked, then ate seven bars of chocolate
We declared Charlie Puth should be a bigger artist
I scratch your head, you fall asleep
Like a tattooed golden retriever
But you awaken with dread
Pounding nails in your head
But I've read this one where you come undone
I chose this cyclone with you"
The Tortured Poets Department,The Tortured Poets Department,[Chorus],"And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)
And who's gonna know you like me?
(Who's gonna know you?)
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're modern idiots""
And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)"
The Tortured Poets Department,The Tortured Poets Department,[Post-Chorus],"No-fucking-body
(Who's gonna hold you? Who's gonna hold you?)
Nobody
(Who's gonna hold you? Gonna know you? Gonna troll you?)
Nobody"
The Tortured Poets Department,The Tortured Poets Department,[Bridge],"Sometimes, I wonder if you're gonna screw this up with me
But you told Lucy you'd kill yourself if I ever leave
And I had said that to Jack about you, so I felt seen
Everyone we know understands why it's meant to be
'Cause we're crazy
So tell me, who else is gonna know me?
At dinner, you take my ring off my middle finger
And put it on the one people put wedding rings on
And that's the closest I've come to my heart exploding"
